,id,track,artist,genre,year,bpm,energy,danceability,loudness,liveness,valence,track_length,acousticness,speechiness,popularity
203,730,I Want To Break Free,Queen,glam rock,2018,109,41,81,-9,8,50,223,11,4,59
204,431,Back Down South,Kings of Leon,modern rock,2010,117,62,48,-7,26,15,241,6,4,58
205,437,Levels,Avicii,big room,2011,126,83,60,-7,34,35,339,3,4,58
206,512,Hopeless Wanderer,Mumford & Sons,modern folk rock,2012,154,58,27,-8,11,20,308,1,4,58
207,526,Another Love,Tom Odell,modern rock,2013,123,54,45,-9,9,13,244,70,4,58
208,589,Yellow Submarine,The Beatles,british invasion,2014,111,64,62,-7,52,65,159,21,3,58
209,608,Élan,Nightwish,finnish metal,2015,128,58,57,-9,14,30,287,1,3,58
210,641,Ocean of Night,Editors,alternative dance,2015,106,67,57,-10,11,25,305,2,3,58
211,407,Dat Komt Door Jou,Guus Meeuwis,dutch pop,2010,134,53,59,-10,12,31,287,38,4,57
212,498,Lover of the Light,Mumford & Sons,modern folk rock,2012,107,69,30,-7,27,37,315,1,5,57
213,508,Slapeloze Nachten,The Opposites,dutch hip hop,2012,112,65,81,-7,15,81,229,35,6,57
214,511,Babel,Mumford & Sons,modern folk rock,2012,80,81,37,-6,8,65,209,3,5,57
215,522,Lola Montez,Volbeat,alternative metal,2013,152,88,51,-5,7,68,268,0,3,57
216,565,Streets,Kensington,dutch pop,2014,168,77,38,-6,27,42,185,0,4,57
217,634,"Oxygene, Pt. 4",Jean-Michel Jarre,laboratorio,2015,189,76,43,-8,55,66,247,2,4,57
218,482,Holiday In Spain,Counting Crows,alternative rock,2012,126,32,65,-11,13,28,233,66,3,56
219,520,Euphoria,Loreen,electropop,2012,132,68,52,-5,6,11,214,8,4,56
220,793,Phantom Of The Opera,Floor Jansen,dutch pop,2019,132,87,47,-6,25,27,244,0,5,56
221,484,Video Games - Remastered,Lana Del Rey,art pop,2012,122,26,39,-10,9,18,282,81,3,55
222,535,Papaoutai,Stromae,belgian pop,2013,116,81,73,-7,6,25,232,3,8,55
223,671,Blackstar,David Bowie,album rock,2016,98,55,37,-8,18,11,598,21,3,55
224,405,Why Tell Me Why,Anita Meyer,dutch pop,2010,112,77,65,-6,59,38,214,23,6,54
225,455,Driver's Seat,Sniff 'n' The Tears,classic uk pop,2011,133,80,74,-8,19,98,239,0,4,54
226,481,Zo Stil,BLØF,dutch pop,2012,170,69,57,-7,11,78,237,4,3,54
227,509,One Moment in Time,Whitney Houston,dance pop,2012,155,54,27,-7,10,33,285,49,3,54
228,636,We Come 1 - Radio Edit,Faithless,big beat,2015,136,90,65,-11,15,61,222,0,4,54
229,644,Ship To Wreck,Florence + The Machine,art pop,2015,142,92,56,-4,28,59,235,0,3,54
230,663,Once Upon a Time in the West - Main Theme,Ennio Morricone,classic soundtrack,2016,90,21,12,-11,13,5,223,84,4,54
231,668,Disco Inferno,The Trammps,disco,2016,130,70,68,-9,14,81,214,0,3,54
232,711,Sunny Days,Armin van Buuren,edm,2017,115,71,63,-7,14,24,210,1,3,54
233,401,Mag Ik Dan Bij Jou,Claudia De Breij,dutch cabaret,2010,132,29,54,-10,71,19,206,97,3,53
234,424,Need You Now,Lady Antebellum,contemporary country,2010,108,72,58,-4,24,32,236,3,3,53
235,440,Rood,Marco Borsato,dutch cabaret,2011,138,78,48,-8,8,18,319,1,5,53
236,450,Faster,Within Temptation,dutch metal,2011,120,93,51,-3,14,48,264,0,4,53
237,551,tous les mêmes,Stromae,belgian pop,2013,110,64,70,-9,28,65,211,22,17,53
238,610,Heading Up High,Armin van Buuren,edm,2015,128,93,52,-5,11,20,233,0,9,53
239,655,Do I Ever,Kensington,dutch pop,2016,163,79,39,-6,40,34,204,0,5,53
240,456,Zing Voor Me,Lange Frans,dutch hip hop,2011,82,52,43,-9,22,56,216,80,7,52
241,501,Flappie,Youp van 't Hek,dutch cabaret,2012,131,24,75,-13,44,67,206,79,8,52
242,574,Calm After The Storm,The Common Linnets,dutch americana,2014,116,39,69,-11,12,38,213,49,3,52
243,575,Riddles,Kensington,dutch pop,2014,148,70,49,-8,8,62,209,4,4,52
244,763,De Zon Op,Diggy Dex,dutch hip hop,2018,100,57,74,-8,10,57,209,51,4,52
245,770,I Do,Douwe Bob,dutch americana,2018,73,25,49,-11,8,27,202,88,3,52
246,428,Atmosphere - 2010 Remaster,Joy Division,alternative rock,2010,120,39,62,-12,12,44,249,23,3,51
247,453,Luv U More - K&A's Radio blast,DJ Paul,electro,2011,168,82,51,-11,14,7,232,0,3,51
248,494,Wat Zou Je Doen?,BLØF,dutch pop,2012,184,51,35,-8,71,22,291,40,3,51
249,496,Sovereign Light Café,Keane,modern rock,2012,123,73,54,-6,16,51,219,1,3,51
250,502,Home Again,Michael Kiwanuka,british soul,2012,85,32,52,-11,12,27,212,70,3,51
251,503,If You Could See Me Now,The Script,celtic rock,2012,100,76,51,-7,14,35,220,1,7,51
